,dt,AverageTemperature,AverageTemperatureUncertainty,Country,year,month
110270,1830-09-01,,,China,1830,09
110271,1830-10-01,,,China,1830,10
110272,1830-11-01,,,China,1830,11
110273,1830-12-01,,,China,1830,12
110274,1831-01-01,,,China,1831,01
110275,1831-02-01,,,China,1831,02
110276,1831-03-01,,,China,1831,03
110277,1831-04-01,,,China,1831,04
110278,1831-05-01,,,China,1831,05
110279,1831-06-01,,,China,1831,06
110280,1831-07-01,,,China,1831,07
110281,1831-08-01,,,China,1831,08
110282,1831-09-01,,,China,1831,09
110283,1831-10-01,,,China,1831,10
110284,1831-11-01,,,China,1831,11
110285,1831-12-01,,,China,1831,12
110286,1832-01-01,,,China,1832,01
110287,1832-02-01,,,China,1832,02
110288,1832-03-01,,,China,1832,03
110289,1832-04-01,,,China,1832,04
110290,1832-05-01,,,China,1832,05
110291,1832-06-01,,,China,1832,06
110292,1832-07-01,,,China,1832,07
110293,1832-08-01,,,China,1832,08
110294,1832-09-01,,,China,1832,09
110295,1832-10-01,,,China,1832,10
110296,1832-11-01,,,China,1832,11
110297,1832-12-01,,,China,1832,12
110298,1833-01-01,-8.636999999999999,1.639,China,1833,01
110299,1833-02-01,-5.766,1.484,China,1833,02
110300,1833-03-01,-0.2119999999999997,1.523,China,1833,03
110301,1833-04-01,6.847,1.561,China,1833,04
110302,1833-05-01,12.857,1.306,China,1833,05
110303,1833-06-01,17.132,1.449,China,1833,06
110304,1833-07-01,19.432,1.618,China,1833,07
110305,1833-08-01,17.803,1.5930000000000002,China,1833,08
110306,1833-09-01,13.409,1.445,China,1833,09
110307,1833-10-01,6.034,1.473,China,1833,10
110308,1833-11-01,0.426,1.6840000000000002,China,1833,11
110309,1833-12-01,-6.853,1.786,China,1833,12
110310,1834-01-01,-10.880999999999998,1.367,China,1834,01
110311,1834-02-01,-5.7970000000000015,1.777,China,1834,02
110312,1834-03-01,1.896,1.537,China,1834,03
110313,1834-04-01,7.279,2.097,China,1834,04
110314,1834-05-01,13.542,1.431,China,1834,05
110315,1834-06-01,17.014,1.7919999999999998,China,1834,06
110316,1834-07-01,19.733,1.555,China,1834,07
110317,1834-08-01,17.908,1.4680000000000002,China,1834,08
110318,1834-09-01,13.841,1.721,China,1834,09
110319,1834-10-01,6.399,1.37,China,1834,10
110320,1834-11-01,0.373,1.7919999999999998,China,1834,11
110321,1834-12-01,-6.089,1.515,China,1834,12
110322,1835-01-01,-7.7799999999999985,1.828,China,1835,01
110323,1835-02-01,-4.743,1.459,China,1835,02
110324,1835-03-01,-0.1869999999999998,1.551,China,1835,03
110325,1835-04-01,7.346,1.544,China,1835,04
110326,1835-05-01,12.049,1.317,China,1835,05
110327,1835-06-01,16.19,1.694,China,1835,06
110328,1835-07-01,18.317,1.578,China,1835,07
110329,1835-08-01,16.826999999999998,1.3330000000000002,China,1835,08
110330,1835-09-01,11.886,1.476,China,1835,09
110331,1835-10-01,5.555,1.5319999999999998,China,1835,10
110332,1835-11-01,-2.156,1.4509999999999998,China,1835,11
110333,1835-12-01,-8.093,1.4680000000000002,China,1835,12
110334,1836-01-01,-8.617999999999999,1.43,China,1836,01
110335,1836-02-01,-6.027,1.589,China,1836,02
110336,1836-03-01,1.3,1.369,China,1836,03
110337,1836-04-01,6.9220000000000015,1.383,China,1836,04
110338,1836-05-01,12.049,,China,1836,05
110339,1836-06-01,17.034000000000002,1.421,China,1836,06
110340,1836-07-01,19.273,1.517,China,1836,07
110341,1836-08-01,17.874000000000002,1.578,China,1836,08
110342,1836-09-01,12.888,1.991,China,1836,09
110343,1836-10-01,7.053999999999999,2.532,China,1836,10
110344,1836-11-01,-2.3680000000000003,1.56,China,1836,11
110345,1836-12-01,-6.319999999999999,1.681,China,1836,12
110346,1837-01-01,-8.6179,,China,1837,01
110347,1837-02-01,-6.027,,China,1837,02
110348,1837-03-01,1.3,,China,1837,03
110349,1837-04-01,6.922000,,China,1837,04
110350,1837-05-01,12.151,,China,1837,05
110351,1837-06-01,17.034,,China,1837,06
110352,1837-07-01,19.511,1.4,China,1837,07
110353,1837-08-01,18.208,1.279,China,1837,08
110354,1837-09-01,13.095,1.375,China,1837,09
110355,1837-10-01,6.185,1.469,China,1837,10
110356,1837-11-01,-1.972,1.472,China,1837,11
110357,1837-12-01,-6.206,1.793,China,1837,12
110358,1838-01-01,-11.732,2.129,China,1838,01
110359,1838-02-01,-6.760000000000002,1.785,China,1838,02
110360,1838-03-01,-0.5939999999999999,1.645,China,1838,03
110361,1838-04-01,7.167999999999999,1.371,China,1838,04
110362,1838-05-01,12.151,1.477,China,1838,05
110363,1838-06-01,17.238,1.486,China,1838,06
110364,1838-07-01,20.321,1.645,China,1838,07
110365,1838-08-01,18.585,1.882,China,1838,08
110366,1838-09-01,13.085,1.577,China,1838,09
110367,1838-10-01,6.992999999999999,1.917,China,1838,10
110368,1838-11-01,-1.134,2.17,China,1838,11
110369,1838-12-01,-6.7410000000000005,1.779,China,1838,12
110370,1839-01-01,-9.02,1.835,China,1839,01
110371,1839-02-01,-5.002000000000002,1.87,China,1839,02
110372,1839-03-01,-1.7180000000000002,1.751,China,1839,03
110373,1839-04-01,7.152,1.705,China,1839,04
110374,1839-05-01,12.133,1.575,China,1839,05
110375,1839-06-01,16.983999999999998,1.501,China,1839,06
110376,1839-07-01,19.807,1.968,China,1839,07
110377,1839-08-01,18.542,1.872,China,1839,08
110378,1839-09-01,13.358,1.471,China,1839,09
110379,1839-10-01,5.759,1.991,China,1839,10
110380,1839-11-01,-2.505,1.763,China,1839,11
110381,1839-12-01,-9.261,1.749,China,1839,12
110382,1840-01-01,-8.354,1.959,China,1840,01
110383,1840-02-01,-5.882999999999999,1.769,China,1840,02
110384,1840-03-01,-0.5009999999999999,1.446,China,1840,03
110385,1840-04-01,7.827999999999999,1.5419999999999998,China,1840,04
110386,1840-05-01,13.377,1.6,China,1840,05
110387,1840-06-01,17.509999999999998,1.72,China,1840,06
110388,1840-07-01,20.408,1.359,China,1840,07
110389,1840-08-01,18.355,1.4269999999999998,China,1840,08
110390,1840-09-01,13.24,1.262,China,1840,09
110391,1840-10-01,5.558999999999998,1.4280000000000002,China,1840,10
110392,1840-11-01,-1.757,1.3159999999999998,China,1840,11
110393,1840-12-01,-7.558999999999998,1.464,China,1840,12
110394,1841-01-01,-10.354,1.6840000000000002,China,1841,01
110395,1841-02-01,-5.737,1.359,China,1841,02
110396,1841-03-01,-1.4380000000000002,1.068,China,1841,03
110397,1841-04-01,6.2650000000000015,1.695,China,1841,04
110398,1841-05-01,12.844,1.073,China,1841,05
110399,1841-06-01,16.733,1.916,China,1841,06
110400,1841-07-01,19.732,1.558,China,1841,07
110401,1841-08-01,18.165,1.666,China,1841,08
110402,1841-09-01,13.047,1.057,China,1841,09
110403,1841-10-01,6.600999999999999,1.283,China,1841,10
110404,1841-11-01,-1.528,1.074,China,1841,11
110405,1841-12-01,-8.181000000000001,1.6769999999999998,China,1841,12
110406,1842-01-01,-8.676,1.689,China,1842,01
110407,1842-02-01,-5.176,1.443,China,1842,02
110408,1842-03-01,2.0420000000000003,1.28,China,1842,03
110409,1842-04-01,8.524000000000001,1.015,China,1842,04
110410,1842-05-01,12.774,1.045,China,1842,05
110411,1842-06-01,16.842,1.237,China,1842,06
110412,1842-07-01,18.57,1.1,China,1842,07
110413,1842-08-01,17.789,1.579,China,1842,08
110414,1842-09-01,13.338,1.111,China,1842,09
110415,1842-10-01,6.289,1.268,China,1842,10
110416,1842-11-01,-1.305,1.331,China,1842,11
110417,1842-12-01,-5.669,1.246,China,1842,12
110418,1843-01-01,-8.042,1.278,China,1843,01
110419,1843-02-01,-3.91,1.395,China,1843,02
110420,1843-03-01,0.9720000000000002,1.391,China,1843,03
110421,1843-04-01,8.101,1.1,China,1843,04
110422,1843-05-01,12.334,1.042,China,1843,05
110423,1843-06-01,16.605,1.156,China,1843,06
110424,1843-07-01,19.379,1.449,China,1843,07
110425,1843-08-01,18.454,1.164,China,1843,08
110426,1843-09-01,13.55,1.01,China,1843,09
110427,1843-10-01,6.48,1.4780000000000002,China,1843,10
110428,1843-11-01,-1.301,1.2009999999999998,China,1843,11
110429,1843-12-01,-5.654999999999999,1.693,China,1843,12
110430,1844-01-01,-8.011999999999999,1.2,China,1844,01
110431,1844-02-01,-5.7010000000000005,2.073,China,1844,02
110432,1844-03-01,1.6030000000000002,1.25,China,1844,03
110433,1844-04-01,6.928999999999999,1.171,China,1844,04
110434,1844-05-01,12.024,1.348,China,1844,05
110435,1844-06-01,16.802,1.195,China,1844,06
110436,1844-07-01,19.01,1.516,China,1844,07
110437,1844-08-01,18.212,1.321,China,1844,08
110438,1844-09-01,13.024,1.053,China,1844,09
110439,1844-10-01,7.039,1.031,China,1844,10
110440,1844-11-01,-0.481,1.582,China,1844,11
110441,1844-12-01,-7.830999999999999,1.185,China,1844,12
110442,1845-01-01,-7.781000000000001,1.28,China,1845,01
110443,1845-02-01,-6.311,2.109,China,1845,02
110444,1845-03-01,0.989,1.256,China,1845,03
110445,1845-04-01,7.5870000000000015,1.291,China,1845,04
110446,1845-05-01,13.343,1.157,China,1845,05
110447,1845-06-01,17.814,1.342,China,1845,06
110448,1845-07-01,19.56600000000001,1.257,China,1845,07
110449,1845-08-01,17.965999999999998,1.182,China,1845,08
110450,1845-09-01,13.379,1.046,China,1845,09
110451,1845-10-01,6.178,1.259,China,1845,10
110452,1845-11-01,-1.237,1.108,China,1845,11
110453,1845-12-01,-9.217,1.344,China,1845,12
110454,1846-01-01,-8.315999999999999,2.548,China,1846,01
110455,1846-02-01,-4.1450000000000005,2.305,China,1846,02
110456,1846-03-01,1.82,1.567,China,1846,03
110457,1846-04-01,6.635000000000002,1.0490000000000002,China,1846,04
110458,1846-05-01,12.54,1.142,China,1846,05
110459,1846-06-01,17.91,1.494,China,1846,06
110460,1846-07-01,20.339,1.362,China,1846,07
110461,1846-08-01,18.885,1.213,China,1846,08
110462,1846-09-01,13.954,1.233,China,1846,09
110463,1846-10-01,6.212000000000001,1.082,China,1846,10
110464,1846-11-01,-1.173,1.11,China,1846,11
110465,1846-12-01,-5.611000000000001,1.514,China,1846,12
110466,1847-01-01,-7.4769999999999985,1.749,China,1847,01
110467,1847-02-01,-5.0120000000000005,1.0759999999999998,China,1847,02
110468,1847-03-01,0.3880000000000001,1.404,China,1847,03
110469,1847-04-01,7.95,1.167,China,1847,04
110470,1847-05-01,12.657,0.974,China,1847,05
110471,1847-06-01,16.72,1.258,China,1847,06
110472,1847-07-01,19.687,1.011,China,1847,07
110473,1847-08-01,17.967,0.967,China,1847,08
110474,1847-09-01,13.285,1.096,China,1847,09
110475,1847-10-01,6.553,0.939,China,1847,10
110476,1847-11-01,0.361,1.062,China,1847,11
110477,1847-12-01,-7.994,1.196,China,1847,12
110478,1848-01-01,-10.861999999999998,1.249,China,1848,01
110479,1848-02-01,-4.909000000000002,1.652,China,1848,02
110480,1848-03-01,0.6740000000000002,1.162,China,1848,03
110481,1848-04-01,6.987,1.352,China,1848,04
110482,1848-05-01,12.685,1.14,China,1848,05
110483,1848-06-01,17.052,1.513,China,1848,06
110484,1848-07-01,19.714,1.039,China,1848,07
110485,1848-08-01,17.895,1.03,China,1848,08
110486,1848-09-01,13.154000000000002,1.236,China,1848,09
110487,1848-10-01,6.468999999999999,1.147,China,1848,10
110488,1848-11-01,-1.3190000000000002,0.999,China,1848,11
110489,1848-12-01,-6.263,1.189,China,1848,12
110490,1849-01-01,-7.779,1.116,China,1849,01
110491,1849-02-01,-5.032,1.582,China,1849,02
110492,1849-03-01,1.694,1.591,China,1849,03
110493,1849-04-01,6.7730000000000015,1.485,China,1849,04
110494,1849-05-01,12.113,1.177,China,1849,05
110495,1849-06-01,17.051,1.09,China,1849,06
110496,1849-07-01,19.082,1.149,China,1849,07
110497,1849-08-01,18.477,1.07,China,1849,08
110498,1849-09-01,13.438,1.195,China,1849,09
110499,1849-10-01,6.537000000000001,1.618,China,1849,10
110500,1849-11-01,-1.145,1.355,China,1849,11
110501,1849-12-01,-7.951,1.204,China,1849,12
110502,1850-01-01,-9.667,1.286,China,1850,01
110503,1850-02-01,-5.662000000000001,1.65,China,1850,02
110504,1850-03-01,1.352,1.699,China,1850,03
110505,1850-04-01,6.279,1.41,China,1850,04
110506,1850-05-01,12.577,1.082,China,1850,05
110507,1850-06-01,16.993,1.119,China,1850,06
110508,1850-07-01,19.555,1.016,China,1850,07
110509,1850-08-01,18.341,1.381,China,1850,08
110510,1850-09-01,13.558,0.93,China,1850,09
110511,1850-10-01,6.557,1.525,China,1850,10
110512,1850-11-01,-1.895,1.533,China,1850,11
110513,1850-12-01,-7.101999999999999,1.3630000000000002,China,1850,12
110514,1851-01-01,-8.463,0.975,China,1851,01
110515,1851-02-01,-5.7010000000000005,1.188,China,1851,02
110516,1851-03-01,-0.7230000000000001,1.288,China,1851,03
110517,1851-04-01,5.575,1.004,China,1851,04
110518,1851-05-01,12.563,1.328,China,1851,05
110519,1851-06-01,17.627,1.03,China,1851,06
110520,1851-07-01,19.942,1.245,China,1851,07
110521,1851-08-01,18.39,1.125,China,1851,08
110522,1851-09-01,13.148,1.024,China,1851,09
110523,1851-10-01,6.403,1.154,China,1851,10
110524,1851-11-01,-2.224,0.908,China,1851,11
110525,1851-12-01,-7.143,1.551,China,1851,12
110526,1852-01-01,-8.866999999999997,1.5830000000000002,China,1852,01
110527,1852-02-01,-6.925000000000002,1.112,China,1852,02
110528,1852-03-01,-1.233,1.381,China,1852,03
110529,1852-04-01,6.6640000000000015,1.359,China,1852,04
110530,1852-05-01,13.003,1.15,China,1852,05
110531,1852-06-01,17.581,1.086,China,1852,06
110532,1852-07-01,20.164,1.043,China,1852,07
110533,1852-08-01,17.961,1.021,China,1852,08
110534,1852-09-01,13.287,0.95,China,1852,09
110535,1852-10-01,7.2349999999999985,1.029,China,1852,10
110536,1852-11-01,-2.132,0.955,China,1852,11
110537,1852-12-01,-6.448,1.711,China,1852,12
110538,1853-01-01,-10.412,1.115,China,1853,01
110539,1853-02-01,-7.018000000000002,1.561,China,1853,02
110540,1853-03-01,0.5700000000000001,0.995,China,1853,03
110541,1853-04-01,6.508000000000001,0.989,China,1853,04
110542,1853-05-01,12.977,1.024,China,1853,05
110543,1853-06-01,17.816,0.8859999999999999,China,1853,06
110544,1853-07-01,20.668000000000003,0.97,China,1853,07
110545,1853-08-01,18.727,0.909,China,1853,08
110546,1853-09-01,14.271,0.991,China,1853,09
110547,1853-10-01,6.108,1.352,China,1853,10
110548,1853-11-01,-1.21,1.072,China,1853,11
110549,1853-12-01,-7.034,0.967,China,1853,12
110550,1854-01-01,-8.36,0.991,China,1854,01
110551,1854-02-01,-7.285,1.649,China,1854,02
110552,1854-03-01,1.277,0.927,China,1854,03
110553,1854-04-01,7.468,1.142,China,1854,04
110554,1854-05-01,13.737,1.097,China,1854,05
110555,1854-06-01,17.213,1.094,China,1854,06
110556,1854-07-01,20.464,1.031,China,1854,07
110557,1854-08-01,18.893,1.124,China,1854,08
110558,1854-09-01,13.767,1.125,China,1854,09
110559,1854-10-01,7.606,1.658,China,1854,10
110560,1854-11-01,-0.5529999999999999,1.1909999999999998,China,1854,11
110561,1854-12-01,-6.55,1.222,China,1854,12
110562,1855-01-01,-8.636999999999999,1.246,China,1855,01
110563,1855-02-01,-4.503,1.582,China,1855,02
110564,1855-03-01,1.137,1.3030000000000002,China,1855,03
110565,1855-04-01,9.113,1.101,China,1855,04
110566,1855-05-01,13.485,1.094,China,1855,05
110567,1855-06-01,17.564,1.133,China,1855,06
110568,1855-07-01,19.643,1.054,China,1855,07
110569,1855-08-01,18.485,1.046,China,1855,08
110570,1855-09-01,13.575,1.035,China,1855,09
110571,1855-10-01,6.504,1.23,China,1855,10
110572,1855-11-01,-1.259,1.215,China,1855,11
110573,1855-12-01,-6.92,1.871,China,1855,12
110574,1856-01-01,-8.836,1.293,China,1856,01
110575,1856-02-01,-7.404,1.374,China,1856,02
110576,1856-03-01,0.8550000000000001,1.232,China,1856,03
110577,1856-04-01,7.6110000000000015,1.193,China,1856,04
110578,1856-05-01,12.691,1.372,China,1856,05
110579,1856-06-01,17.713,1.473,China,1856,06
110580,1856-07-01,19.882,1.227,China,1856,07
110581,1856-08-01,18.102,1.325,China,1856,08
110582,1856-09-01,13.106,1.177,China,1856,09
110583,1856-10-01,6.4270000000000005,1.117,China,1856,10
110584,1856-11-01,-0.809,1.267,China,1856,11
110585,1856-12-01,-6.191,1.223,China,1856,12
110586,1857-01-01,-9.388,1.452,China,1857,01
110587,1857-02-01,-5.527,1.653,China,1857,02
110588,1857-03-01,0.6500000000000001,1.344,China,1857,03
110589,1857-04-01,7.0070000000000014,1.3259999999999998,China,1857,04
110590,1857-05-01,11.994000000000002,1.112,China,1857,05
110591,1857-06-01,16.758,1.0759999999999998,China,1857,06
110592,1857-07-01,19.457,1.079,China,1857,07
110593,1857-08-01,17.924,1.197,China,1857,08
110594,1857-09-01,13.398,1.063,China,1857,09
110595,1857-10-01,6.6370000000000005,1.18,China,1857,10
110596,1857-11-01,-1.271,1.327,China,1857,11
110597,1857-12-01,-6.122999999999998,1.307,China,1857,12
110598,1858-01-01,-7.7799999999999985,1.7919999999999998,China,1858,01
110599,1858-02-01,-5.114000000000001,1.2009999999999998,China,1858,02
110600,1858-03-01,0.7110000000000001,1.317,China,1858,03
110601,1858-04-01,8.311,1.415,China,1858,04
110602,1858-05-01,12.869000000000002,1.17,China,1858,05
110603,1858-06-01,17.118,1.189,China,1858,06
110604,1858-07-01,19.355,1.289,China,1858,07
110605,1858-08-01,18.221,1.113,China,1858,08
110606,1858-09-01,13.661,1.146,China,1858,09
110607,1858-10-01,7.098999999999998,1.163,China,1858,10
110608,1858-11-01,0.121,1.117,China,1858,11
110609,1858-12-01,-7.603,1.159,China,1858,12
110610,1859-01-01,-8.218,1.18,China,1859,01
110611,1859-02-01,-5.759,1.321,China,1859,02
110612,1859-03-01,1.1980000000000002,1.095,China,1859,03
110613,1859-04-01,8.828,1.126,China,1859,04
110614,1859-05-01,13.896,0.962,China,1859,05
110615,1859-06-01,17.472,0.963,China,1859,06
110616,1859-07-01,19.473,1.0,China,1859,07
110617,1859-08-01,18.432,0.94,China,1859,08
110618,1859-09-01,13.275,0.969,China,1859,09
110619,1859-10-01,7.019,1.106,China,1859,10
110620,1859-11-01,-0.371,1.5319999999999998,China,1859,11
110621,1859-12-01,-6.823,1.32,China,1859,12
110622,1860-01-01,-9.758,1.41,China,1860,01
110623,1860-02-01,-5.915,1.4240000000000002,China,1860,02
110624,1860-03-01,-1.899,2.066,China,1860,03
110625,1860-04-01,7.167999999999999,1.203,China,1860,04
110626,1860-05-01,12.469,1.157,China,1860,05
110627,1860-06-01,17.229,1.078,China,1860,06
110628,1860-07-01,19.237,1.516,China,1860,07
110629,1860-08-01,18.647,1.211,China,1860,08
110630,1860-09-01,14.458,1.069,China,1860,09
110631,1860-10-01,6.335,1.315,China,1860,10
110632,1860-11-01,-2.123,1.136,China,1860,11
110633,1860-12-01,-8.536,1.3,China,1860,12
110634,1861-01-01,-11.228,1.16,China,1861,01
110635,1861-02-01,-7.32,1.308,China,1861,02
110636,1861-03-01,0.381,1.138,China,1861,03
110637,1861-04-01,7.928999999999999,1.134,China,1861,04
110638,1861-05-01,12.404000000000002,1.52,China,1861,05
110639,1861-06-01,17.579,1.031,China,1861,06
110640,1861-07-01,19.694000000000003,1.245,China,1861,07
110641,1861-08-01,18.638,1.084,China,1861,08
110642,1861-09-01,13.232,1.1,China,1861,09
110643,1861-10-01,6.792000000000001,0.99,China,1861,10
110644,1861-11-01,-0.105,1.29,China,1861,11
110645,1861-12-01,-7.614,1.453,China,1861,12
110646,1862-01-01,-11.247,1.654,China,1862,01
110647,1862-02-01,-6.587000000000001,1.3969999999999998,China,1862,02
110648,1862-03-01,-0.2459999999999997,1.289,China,1862,03
110649,1862-04-01,6.586,1.755,China,1862,04
110650,1862-05-01,13.364,1.6369999999999998,China,1862,05
110651,1862-06-01,17.365,1.3259999999999998,China,1862,06
110652,1862-07-01,19.297,1.236,China,1862,07
110653,1862-08-01,18.367,1.398,China,1862,08
110654,1862-09-01,13.185,1.401,China,1862,09
110655,1862-10-01,6.696999999999999,1.511,China,1862,10
110656,1862-11-01,-2.424,1.523,China,1862,11
110657,1862-12-01,-8.98,1.868,China,1862,12
110658,1863-01-01,-7.265,1.781,China,1863,01
110659,1863-02-01,-3.661000000000001,1.712,China,1863,02
110660,1863-03-01,1.036,1.245,China,1863,03
110661,1863-04-01,7.564,1.454,China,1863,04
110662,1863-05-01,13.049,1.404,China,1863,05
110663,1863-06-01,17.566,1.446,China,1863,06
110664,1863-07-01,19.941,1.378,China,1863,07
110665,1863-08-01,18.234,1.183,China,1863,08
110666,1863-09-01,13.039,1.101,China,1863,09
110667,1863-10-01,6.169,1.23,China,1863,10
110668,1863-11-01,-1.3730000000000002,1.465,China,1863,11
110669,1863-12-01,-6.964,1.408,China,1863,12
110670,1864-01-01,-8.793999999999999,1.476,China,1864,01
110671,1864-02-01,-6.392,1.3259999999999998,China,1864,02
110672,1864-03-01,-0.1269999999999997,1.4680000000000002,China,1864,03
110673,1864-04-01,7.104,1.152,China,1864,04
110674,1864-05-01,12.652,1.163,China,1864,05
110675,1864-06-01,16.934,1.129,China,1864,06
110676,1864-07-01,19.699,1.052,China,1864,07
110677,1864-08-01,17.705,1.092,China,1864,08
110678,1864-09-01,13.1,1.196,China,1864,09
110679,1864-10-01,7.117999999999999,1.209,China,1864,10
110680,1864-11-01,-0.643,1.4480000000000002,China,1864,11
110681,1864-12-01,-8.738,1.352,China,1864,12
110682,1865-01-01,-7.802,1.17,China,1865,01
110683,1865-02-01,-6.5680000000000005,1.735,China,1865,02
110684,1865-03-01,-0.359,1.296,China,1865,03
110685,1865-04-01,7.56,1.85,China,1865,04
110686,1865-05-01,13.52,1.341,China,1865,05
110687,1865-06-01,17.707,1.236,China,1865,06
110688,1865-07-01,19.83,1.25,China,1865,07
110689,1865-08-01,18.59,1.204,China,1865,08
110690,1865-09-01,14.169,1.178,China,1865,09
110691,1865-10-01,7.145,1.095,China,1865,10
110692,1865-11-01,-1.253,1.5530000000000002,China,1865,11
110693,1865-12-01,-7.611000000000001,1.733,China,1865,12
110694,1866-01-01,-7.890999999999999,1.319,China,1866,01
110695,1866-02-01,-5.785,1.293,China,1866,02
110696,1866-03-01,-0.1649999999999998,1.345,China,1866,03
110697,1866-04-01,7.298999999999999,1.118,China,1866,04
110698,1866-05-01,12.911,1.158,China,1866,05
110699,1866-06-01,17.014,1.031,China,1866,06
110700,1866-07-01,20.193,1.227,China,1866,07
110701,1866-08-01,18.815,1.192,China,1866,08
110702,1866-09-01,13.284,0.998,China,1866,09
